Region,Inflow
Beijing,10.09
Tianjin,8.84
Hebei,-1.4600000000000009
Shanxi,-4.610000000000003
Inner Mongolia,-2.41
Liaoning,4.960000000000001
Jilin,4.24
Heilongjiang,1.6999999999999993
Shanghai,8.39
Jiangsu,16.63
Zhejiang,1.4700000000000024
Anhui,-6.220000000000002
Fujian,1.5600000000000023
Jiangxi,-0.8200000000000003
Shandong,0.35999999999999943
Henan,-3.8599999999999994
Hubei,13.120000000000001
Hunan,1.7099999999999937
Guangdong,-7.320000000000007
Guangxi,-1.2899999999999991
Hainan,-0.25
Chongqing,0.9600000000000009
Sichuan,-2.6400000000000006
Guizhou,-11.340000000000003
Yunnan,-4.689999999999998
Tibet,-0.96
Shaanxi,1.9700000000000024
Gansu,-6.42
Qinghai,-1.8600000000000003
Ningxia,-1.7300000000000004
Xinjiang,-6.359999999999999
