Region,Weighted Testtakers
Beijing,1.232876712328767
Tianjin,1.0242085661080074
Hebei,1.211667913238594
Shanxi,1.2318255250403876
Inner Mongolia,1.3328776486671223
Liaoning,0.8963178294573643
Jilin,1.1269722013523666
Heilongjiang,1.0060807075732447
Shanghai,0.9633911368015413
Jiangsu,1.0595390524967991
Zhejiang,1.2080536912751678
Anhui,1.3515709642470204
Fujian,0.9752547307132461
Jiangxi,1.2479474548440066
Shandong,1.0761679694600983
Henan,1.4888014527845037
Hubei,1.3570391872278664
Hunan,1.3223593964334706
Guangdong,1.1724671307037895
Guangxi,1.352265043948614
Hainan,1.0175438596491226
Chongqing,1.224889759921607
Sichuan,1.2919358199624922
Guizhou,1.336963097398669
Yunnan,1.1673151750972763
Tibet,1.3089005235602096
Shaanxi,1.2115457652867452
Gansu,1.357533565390353
Qinghai,1.0741687979539642
Ningxia,1.3193116634799236
Xinjiang,1.163575042158516
